	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.5384615384615384	0.18846153846153846	0.36363636363636365	0.5625	Choueiri	CKS	
Test	0.5	0.272034632034632	0.4615384615384615	0.5882352941176471	Miao	CKS	
Test	0.5612244897959183	0.35667130488559057	0.47058823529411764	0.5714285714285714	Snyder	CKS	
Test	0.06493506493506493	0.2672909552332636	0.17391304347826086	0.24	Zhao	CKS	
Test	0.43452380952380953	0.4745816231884463	0.5714285714285714	0.5384615384615384	Hugo	CKS	
Test	0.24444444444444446	0.24277641639406344	0.3333333333333333	0.42857142857142855	SU2CLC2	CKS	
Test	0.30654761904761907	0.2756191049933292	0.29629629629629634	0.5	MGH	CKS	
Test	0.6272189349112426	0.38095724633752986	0.4827586206896552	0.6153846153846154	Allen	CKS	
Test	0.787878787878788	0.6394032075404624	0.6206896551724139	0.7555555555555555	Kim	CKS	
Test	0.6	0.2935667879698623	0.35294117647058826	0.5686274509803921	Riaz	CKS	
Test	0.8060606060606061	0.8444765062616857	0.7733333333333333	0.7671232876712328	Gide	CKS	
Test	0.5993150684931507	0.21120374291975297	0.4	0.6292134831460674	Rose	CKS	
Test	0.5867598684210527	0.4647630001896533	0.5057471264367815	0.5784313725490197	SU2CLC1	CKS	
Test	0.5221729490022173	0.39265513034375754	0.4835164835164836	0.5607476635514018	Liu	CKS	
Test	0.6403133903133903	0.38303355562391717	0.5039370078740157	0.6181818181818182	IMmotion150	CKS	
Test	0.5572890025575448	0.2653643806467855	0.35348837209302325	0.5335570469798657	IMVigor210	CKS	
