	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.6923076923076923	0.24722222222222223	0.4444444444444444	0.6875	Choueiri	CTLA4	
Test	0.4833333333333333	0.26766573295985063	0.5714285714285714	0.6470588235294118	Miao	CTLA4	
Test	0.0	0.18859771978967024	0.0	0.047619047619047616	Snyder	CTLA4	
Test	0.08441558441558442	0.27000762730154	0.17391304347826086	0.24	Zhao	CTLA4	
Test	0.5952380952380952	0.6653125852350296	0.5517241379310344	0.5	Hugo	CTLA4	
Test	0.2611111111111111	0.24702295417001296	0.32	0.39285714285714285	SU2CLC2	CTLA4	
Test	0.16369047619047616	0.23681768629122218	0.23076923076923075	0.47368421052631576	MGH	CTLA4	
Test	0.6627218934911243	0.4338379424775095	0.5	0.6410256410256411	Allen	CTLA4	
Test	0.6287878787878789	0.3231295035999459	0.5	0.6444444444444445	Kim	CTLA4	
Test	0.6878048780487804	0.32132116086231594	0.4666666666666667	0.6862745098039216	Riaz	CTLA4	
Test	0.6856060606060606	0.6915009156988741	0.6944444444444444	0.6986301369863014	Gide	CTLA4	
Test	0.3253424657534247	0.12929568589771623	0.28125	0.48314606741573035	Rose	CTLA4	
Test	0.6245888157894738	0.4772244371023159	0.5517241379310346	0.6176470588235294	SU2CLC1	CTLA4	
Test	0.499630450849963	0.42079338621679685	0.43956043956043955	0.5233644859813084	Liu	CTLA4	
Test	0.6303418803418803	0.3672655846848536	0.4761904761904762	0.6	IMmotion150	CTLA4	
Test	0.42257033248081843	0.18905758907591477	0.3257918552036199	0.5	IMVigor210	CTLA4	
