	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.0	0.09791666666666667	0.0	0.3125	Choueiri	IMPRES	
Test	0.44999999999999996	0.26941176470588235	0.4000000000000001	0.6470588235294118	Miao	IMPRES	
Test	0.30612244897959184	0.237811311495522	0.0	0.2857142857142857	Snyder	IMPRES	
Test	0.19117647058823528	0.20290337380011292	0.3478260869565218	0.4	SU2CLC2	IMPRES	
Test	0.4155844155844156	0.3707026789635485	0.56	0.56	Zhao	IMPRES	
Test	0.5476190476190476	0.48254487748276564	0.7142857142857143	0.6923076923076923	Hugo	IMPRES	
Test	0.0	0.2006436826835451	0.0	0.0	MGH	IMPRES	
Test	0.6124260355029586	0.40666433478104563	0.5806451612903226	0.6666666666666666	Allen	IMPRES	
Test	0.3939393939393939	0.21324028275247786	0.42105263157894735	0.5111111111111111	Kim	IMPRES	
Test	0.526829268292683	0.2739678990260386	0.3076923076923077	0.6470588235294118	Riaz	IMPRES	
Test	0.4462121212121212	0.4930338884128398	0.4776119402985075	0.5205479452054794	Gide	IMPRES	
Test	0.4974315068493151	0.18421346005032693	0.3098591549295775	0.449438202247191	Rose	IMPRES	
Test	0.4609375	0.332285545759457	0.45833333333333337	0.49019607843137253	SU2CLC1	IMPRES	
Test	0.4866962305986696	0.3937923251910539	0.4950495049504951	0.5233644859813084	Liu	IMPRES	
Test	0.4350071225071225	0.2678786403197613	0.45945945945945954	0.5151515151515151	IMmotion150	IMPRES	
Test	0.40786445012787725	0.18241100261042537	0.28421052631578947	0.5436241610738255	IMVigor210	IMPRES	
