	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.41025641025641024	0.15067340067340068	0.0	0.4375	Choueiri	PDL1	
Test	0.8833333333333333	0.7684523809523809	0.6666666666666666	0.7647058823529411	Miao	PDL1	
Test	0.6224489795918368	0.3842141984999128	0.5263157894736842	0.5714285714285714	Snyder	PDL1	
Test	0.04411764705882354	0.18276042440587634	0.08695652173913045	0.16	SU2CLC2	PDL1	
Test	0.6363636363636364	0.6781338950904169	0.5714285714285713	0.64	Zhao	PDL1	
Test	0.3928571428571429	0.4725964934722242	0.4	0.4230769230769231	Hugo	PDL1	
Test	0.0	0.20173342722876958	0.0	0.0	MGH	PDL1	
Test	0.3846153846153846	0.2643080796001347	0.4375	0.5384615384615384	Allen	PDL1	
Test	0.7702020202020202	0.5312105144563916	0.6428571428571429	0.7777777777777778	Kim	PDL1	
Test	0.051219512195121955	0.10627897024760247	0.0	0.45098039215686275	Riaz	PDL1	
Test	0.7727272727272727	0.8387532342666043	0.7341772151898733	0.7123287671232876	Gide	PDL1	
Test	0.5933219178082192	0.32761601519287475	0.3404255319148936	0.651685393258427	Rose	PDL1	
Test	0.5945723684210525	0.5038400999572801	0.5227272727272727	0.5882352941176471	SU2CLC1	PDL1	
Test	0.3813747228381375	0.3154337550400056	0.39999999999999997	0.5233644859813084	Liu	PDL1	
Test	0.6112891737891737	0.3680834821223885	0.43410852713178294	0.5575757575757576	IMmotion150	PDL1	
Test	0.5468030690537085	0.23810483950636138	0.3571428571428571	0.5771812080536913	IMVigor210	PDL1	
