	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.4102564102564102	0.15228174603174602	0.36363636363636365	0.5625	Choueiri	TAM	
Test	0.0	0.16336780866192632	0.1111111111111111	0.058823529411764705	Miao	TAM	
Test	0.7448979591836734	0.6396529824050832	0.631578947368421	0.6666666666666666	Snyder	TAM	
Test	0.6363636363636365	0.504322814693108	0.5217391304347826	0.56	Zhao	TAM	
Test	0.6785714285714286	0.6920704448507411	0.56	0.5769230769230769	Hugo	TAM	
Test	0.3333333333333333	0.265053625686618	0.4444444444444445	0.4642857142857143	SU2CLC2	TAM	
Test	0.5238095238095237	0.3678267053733947	0.4571428571428571	0.5	MGH	TAM	
Test	0.40828402366863903	0.2695661387601886	0.28571428571428575	0.48717948717948717	Allen	TAM	
Test	0.7196969696969697	0.5618952082646935	0.5	0.6888888888888889	Kim	TAM	
Test	0.3975609756097561	0.15451187015493834	0.23529411764705882	0.49019607843137253	Riaz	TAM	
Test	0.5356060606060606	0.5345221197111188	0.674698795180723	0.6301369863013698	Gide	TAM	
Test	0.595890410958904	0.22004875102313334	0.3773584905660377	0.6292134831460674	Rose	TAM	
Test	0.5345394736842105	0.3818812739412027	0.42857142857142855	0.5294117647058824	SU2CLC1	TAM	
Test	0.06097560975609756	0.2271858539817944	0.1553398058252427	0.18691588785046728	Liu	TAM	
Test	0.4506766381766382	0.25522645667224386	0.3548387096774194	0.5151515151515151	IMmotion150	TAM	
Test	0.6049232736572889	0.30627150195923675	0.37	0.5771812080536913	IMVigor210	TAM	
