	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.717948717948718	0.301010101010101	0.36363636363636365	0.5625	Choueiri	Texh	
Test	0.5166666666666666	0.29642399267399266	0.4615384615384615	0.5882352941176471	Miao	Texh	
Test	0.47959183673469385	0.2932298278162939	0.5263157894736842	0.5714285714285714	Snyder	Texh	
Test	0.40909090909090906	0.3679613695557968	0.3846153846153846	0.36	Zhao	Texh	
Test	0.5178571428571429	0.5782979494625458	0.6153846153846153	0.6153846153846154	Hugo	Texh	
Test	0.3	0.2645998765727027	0.28571428571428564	0.4642857142857143	SU2CLC2	Texh	
Test	0.5654761904761905	0.4437927034188224	0.5142857142857143	0.5526315789473685	MGH	Texh	
Test	0.5710059171597632	0.36210454482676435	0.4375	0.5384615384615384	Allen	Texh	
Test	0.6060606060606061	0.2978994470505884	0.4117647058823529	0.5555555555555556	Kim	Texh	
Test	0.275609756097561	0.13113741514509802	0.1111111111111111	0.37254901960784315	Riaz	Texh	
Test	0.6507575757575758	0.684179987443393	0.65	0.6164383561643836	Gide	Texh	
Test	0.3904109589041096	0.14197108160501173	0.2181818181818182	0.5168539325842697	Rose	Texh	
Test	0.469983552631579	0.33657984479297953	0.3764705882352941	0.4803921568627451	SU2CLC1	Texh	
Test	0.06984478935698449	0.22735726349743	0.10989010989010989	0.24299065420560748	Liu	Texh	
Test	0.5393518518518517	0.30024344839713923	0.4032258064516129	0.5515151515151515	IMmotion150	Texh	
Test	0.57269820971867	0.27165905117138067	0.38139534883720927	0.5536912751677853	IMVigor210	Texh	
