	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.5384615384615384	0.1865079365079365	0.2	0.5	Choueiri	LFT	42
Test	0.6	0.3177272727272727	0.5882352941176471	0.5882352941176471	Miao	LFT	42
Test	0.44897959183673464	0.27923515560070183	0.0	0.42857142857142855	Snyder	LFT	42
Test	0.21323529411764708	0.2080156272265111	0.14285714285714288	0.52	SU2CLC2	LFT	42
Test	0.6818181818181819	0.5716190484965188	0.5	0.6	Zhao	LFT	42
Test	0.5059523809523809	0.630383405723963	0.6666666666666667	0.5769230769230769	Hugo	LFT	42
Test	0.678030303030303	0.4187939992895236	0.48000000000000004	0.6176470588235294	MGH	LFT	42
Test	0.7544378698224852	0.5982075137637537	0.64	0.7692307692307693	Allen	LFT	42
Test	0.8914141414141414	0.8110622766131543	0.761904761904762	0.8888888888888888	Kim	LFT	42
Test	0.7219512195121951	0.4100515396225387	0.28571428571428575	0.803921568627451	Riaz	LFT	42
Test	0.8356060606060607	0.8647102260792342	0.7865168539325842	0.7397260273972602	Gide	LFT	42
Test	0.6626712328767124	0.24270509557206332	0.23076923076923075	0.7752808988764045	Rose	LFT	42
Test	0.6780427631578947	0.5768189052852027	0.5633802816901409	0.696078431372549	SU2CLC1	LFT	42
Test	0.7091648189209165	0.549405977635483	0.6363636363636364	0.7009345794392523	Liu	LFT	42
Test	0.7170584045584046	0.5803291205026395	0.4731182795698925	0.703030303030303	IMmotion150	LFT	42
Test	0.6847186700767264	0.46112325709222185	0.43103448275862066	0.7785234899328859	IMVigor210	LFT	42
