	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.4102564102564102	0.1458689458689459	0.2	0.5	Choueiri	PFT	42
Test	0.44999999999999996	0.24510295260295256	0.5000000000000001	0.5294117647058824	Miao	PFT	42
Test	0.33673469387755106	0.24662670521527222	0.0	0.38095238095238093	Snyder	PFT	42
Test	0.1838235294117647	0.20353240644430576	0.14285714285714288	0.52	SU2CLC2	PFT	42
Test	0.5844155844155845	0.44063079066069494	0.380952380952381	0.48	Zhao	PFT	42
Test	0.4642857142857143	0.5740783031753504	0.5161290322580646	0.4230769230769231	Hugo	PFT	42
Test	0.6212121212121212	0.39553093288414093	0.5	0.5882352941176471	MGH	PFT	42
Test	0.7366863905325445	0.6580660331343724	0.5517241379310345	0.6666666666666666	Allen	PFT	42
Test	0.8611111111111112	0.7659440913117385	0.6666666666666666	0.8444444444444444	Kim	PFT	42
Test	0.475609756097561	0.27689641136179954	0.22222222222222224	0.7254901960784313	Riaz	PFT	42
Test	0.7772727272727272	0.8105064990471036	0.7804878048780488	0.7534246575342466	Gide	PFT	42
Test	0.6969178082191781	0.26631868577526663	0.16666666666666666	0.7752808988764045	Rose	PFT	42
Test	0.6788651315789473	0.6016998805112385	0.5945945945945946	0.7058823529411765	SU2CLC1	PFT	42
Test	0.6437546193643755	0.5174149172730659	0.5348837209302325	0.6261682242990654	Liu	PFT	42
Test	0.7423433048433048	0.6513442170164613	0.5842696629213483	0.7757575757575758	IMmotion150	PFT	42
Test	0.7145780051150895	0.3919972353411099	0.4262295081967213	0.7651006711409396	IMVigor210	PFT	42
