	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_BLCA	Atezo_HiSeq2500_KIRC	CTLA4	0.1	0.5874380165289257	0.6381766381766382	0.37468159206338264	0.4403669724770642	0.6303030303030303	0.17289584661569707
1	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_KIRC	Atezo_HiSeq2500_BLCA	CTLA4	0.1	0.6477636142516103	0.5164322250639386	0.23018505553388563	0.3478260869565218	0.4463087248322148	0.0294217277168549
2	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_GBM	Nivo_HiSeq2000_KIRC	CTLA4	0.1	0.7551020408163265	0.5	0.13000610500610502	0.3	0.3333333333333333	0.19802950859533489
3	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_KIRC	Nivo_HiSeq2000_GBM	CTLA4	0.1	0.58	0.5238095238095237	0.29649302902979374	0.0	0.7	0.0
4	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_LUAD	Nivo_HiSeq2500_SKCM	CTLA4	0.1	0.5246913580246914	0.5505050505050505	0.4754228613103672	0.2962962962962963	0.6481481481481481	0.20145574100634508
5	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_SKCM	Nivo_HiSeq2500_LUAD	CTLA4	0.1	0.5351936693044566	0.5851254480286738	0.4680113527533669	0.4838709677419354	0.3469387755102041	-0.16268458949705117
6	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_SKCM	CTLA4	0.1	0.5144861928474422	0.6198135198135197	0.6042598582413828	0.326530612244898	0.648936170212766	0.26968406094816344
7	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_STAD	CTLA4	0.1	0.6088888888888889	0.6565656565656565	0.3459863752248608	0.11764705882352941	0.6666666666666666	-0.05330017908890261
8	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_LUAD	CTLA4	0.1	0.5775941230486685	0.8	0.654199087805899	0.5555555555555556	0.5151515151515151	0.34213572772701034
9	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_STAD	CTLA4	0.1	0.6088888888888889	0.6565656565656565	0.3459863752248608	0.46153846153846156	0.5333333333333333	0.1846372364689991
10	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_LUAD	CTLA4	0.1	0.5775941230486685	0.8	0.654199087805899	0.5882352941176471	0.5757575757575758	0.4037864265436241
11	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_SKCM	CTLA4	0.1	0.5144861928474422	0.6198135198135197	0.6042598582413828	0.5217391304347826	0.648936170212766	0.25722089225525097
12	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Atezo	BLCA_NovaSeq6000_Pembro	CTLA4	0.1	0.7419659735349716	0.3846153846153845	0.12313373242444754	0.2222222222222222	0.391304347826087	-0.05179034663675479
13	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Pembro	BLCA_NovaSeq6000_Atezo	CTLA4	0.1	0.6179591836734695	0.3418803418803419	0.18949622121917178	0.2222222222222222	0.4	-0.21301305143216562
14	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Nivo	LUAD_HiSeq2500_Pembro	CTLA4	0.1	0.5775941230486685	0.8	0.654199087805899	0.6206896551724138	0.6666666666666666	0.4325925554820793
15	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Pembro	LUAD_HiSeq2500_Nivo	CTLA4	0.1	0.5351936693044566	0.5851254480286738	0.4680113527533669	0.5142857142857143	0.6530612244897959	0.24502884855133059
16	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Nivo	CTLA4	0.1	0.5246913580246914	0.5505050505050505	0.4754228613103672	0.30303030303030304	0.5740740740740741	0.030457245193658635
17	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Pembro	CTLA4	0.1	0.5144861928474422	0.6198135198135197	0.6042598582413828	0.4761904761904762	0.648936170212766	0.2496951187902005
18	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Nivo	SKCM_HiSeq2500_Ipi	CTLA4	0.1	0.5555555555555556	0.7041420118343196	0.45578924579132024	0.5789473684210525	0.5897435897435898	0.3023715784073818
