	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_BLCA	Atezo_HiSeq2500_KIRC	TIDE	0.1	0.5874380165289257	0.49501424501424507	0.2814419106254066	0.3410852713178294	0.48484848484848486	-0.04173726664726156
1	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_KIRC	Atezo_HiSeq2500_BLCA	TIDE	0.1	0.6477636142516103	0.4929667519181586	0.22973995220698704	0.3142857142857143	0.5167785234899329	0.009563022037306378
2	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_GBM	Nivo_HiSeq2000_KIRC	TIDE	0.1	0.7551020408163265	0.40740740740740733	0.11060834590246356	0.0	0.5714285714285714	-0.25819888974716115
3	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_KIRC	Nivo_HiSeq2000_GBM	TIDE	0.1	0.58	0.41666666666666663	0.49745442036463705	0.3333333333333333	0.6	0.047619047619047616
4	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_LUAD	Nivo_HiSeq2500_SKCM	TIDE	0.1	0.5246913580246914	0.35497835497835495	0.34670385427537637	0.28571428571428575	0.35185185185185186	-0.2956561979945413
5	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_SKCM	Nivo_HiSeq2500_LUAD	TIDE	0.1	0.5351936693044566	0.42831541218638	0.3525364740628235	0.28571428571428575	0.3877551020408163	-0.23849888978799783
6	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_SKCM	TIDE	0.1	0.5144861928474422	0.5044289044289044	0.3881518116403486	0.4418604651162791	0.48936170212765956	-0.021591675854376522
7	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_STAD	TIDE	0.1	0.6088888888888889	0.4671717171717172	0.25501480512112196	0.3333333333333333	0.4666666666666667	-0.040291148201269014
8	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_LUAD	TIDE	0.1	0.5775941230486685	0.6043478260869565	0.350819741632446	0.38461538461538464	0.5151515151515151	0.01999040690647504
9	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_STAD	TIDE	0.1	0.6088888888888889	0.4671717171717172	0.25501480512112196	0.3333333333333333	0.4666666666666667	-0.040291148201269014
10	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_LUAD	TIDE	0.1	0.5775941230486685	0.39565217391304347	0.24352427127830353	0.35714285714285715	0.45454545454545453	-0.0601929265428846
