	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_BLCA	Atezo_HiSeq2500_KIRC	LFT	10	0.5874380165289257	0.7674501424501424	0.5700297398784377	0.2413793103448276	0.7333333333333333	0.22878332853246117
1	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_KIRC	Atezo_HiSeq2500_BLCA	LFT	9	0.6477636142516103	0.5641943734015346	0.27788714495492084	0.20202020202020204	0.7348993288590604	0.0766410829872712
2	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_GBM	Nivo_HiSeq2000_KIRC	LFT	6	0.7551020408163265	0.6111111111111112	0.16125541125541126	0.36363636363636365	0.6666666666666666	0.2401922307076307
3	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_KIRC	Nivo_HiSeq2000_GBM	LFT	9	0.58	0.5833333333333333	0.3246895648211438	0.0	0.7	0.0
4	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_LUAD	Nivo_HiSeq2500_SKCM	LFT	7	0.5246913580246914	0.6681096681096681	0.5327924239534749	0.16666666666666666	0.6296296296296297	0.13819749820569552
5	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_SKCM	Nivo_HiSeq2500_LUAD	LFT	8	0.5351936693044566	0.6810035842293907	0.601592420629161	0.5333333333333333	0.42857142857142855	0.06913011298202835
6	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_SKCM	LFT	6	0.5144861928474422	0.6820512820512821	0.6498163845831558	0.5428571428571428	0.6595744680851063	0.281910364596625
7	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_STAD	LFT	6	0.6088888888888889	0.6893939393939394	0.5050128140186385	0.48000000000000004	0.7111111111111111	0.2808733880948142
8	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_LUAD	LFT	7	0.5775941230486685	0.8304347826086957	0.665960548072617	0.7200000000000001	0.7878787878787878	0.5898906801202691
9	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_STAD	LFT	7	0.6088888888888889	0.7045454545454546	0.5508933609727343	0.4848484848484849	0.6222222222222222	0.24174688920761409
10	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_LUAD	LFT	3	0.5775941230486685	0.7608695652173914	0.566284437907765	0.625	0.8181818181818182	0.5439611381401831
11	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_SKCM	LFT	3	0.5144861928474422	0.5594405594405594	0.485357611264432	0.048780487804878044	0.5851063829787234	0.025468151397053877
12	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Atezo	BLCA_NovaSeq6000_Pembro	LFT	5	0.7419659735349716	0.5054945054945055	0.1562549779542867	0.17391304347826086	0.5869565217391305	-0.05524946201098299
13	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Pembro	BLCA_NovaSeq6000_Atezo	LFT	8	0.6179591836734695	0.6837606837606838	0.33300400379347744	0.1818181818181818	0.7428571428571429	0.1367946223824925
14	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Nivo	LUAD_HiSeq2500_Pembro	LFT	7	0.5775941230486685	0.7913043478260869	0.6728898225957048	0.5185185185185185	0.6060606060606061	0.2438829642589955
15	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Pembro	LUAD_HiSeq2500_Nivo	LFT	6	0.5351936693044566	0.6146953405017921	0.43039078068740666	0.24	0.6122448979591837	0.05184758473652126
16	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Nivo	LFT	6	0.5246913580246914	0.6435786435786435	0.6364619137082816	0.47058823529411764	0.6666666666666666	0.261617567014489
