	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC
0	Leave_Allen_out	Allen	0.9289940828402367	0.9182700632700631	0.7857142857142856	0.8461538461538461	0.6708203932499369
1	Leave_Choueiri_out	Choueiri	0.3846153846153846	0.14232804232804233	0.0	0.75	-0.12403473458920847
2	Leave_Gide_out	Gide	0.8560606060606061	0.8859929650182159	0.7848101265822786	0.7671232876712328	0.5313694689202337
3	Leave_Hugo_out	Hugo	0.5119047619047619	0.6413099767812476	0.38095238095238093	0.5	0.04013939192492974
4	Leave_IMVigor210_out	IMVigor210	0.7185102301790282	0.5556224148145341	0.46236559139784944	0.6644295302013423	0.2628087876662118
5	Leave_IMmotion150_out	IMmotion150	0.7018340455840455	0.4801559677896697	0.5068493150684932	0.5636363636363636	0.2307141050267971
6	Leave_Kim_out	Kim	0.8156565656565656	0.5204770538103871	0.4761904761904762	0.7555555555555555	0.3266372899592439
7	Leave_Liu_out	Liu	0.7065779748706579	0.6094112291752964	0.5714285714285714	0.719626168224299	0.384388441930006
8	Leave_MGH_out	MGH	0.787878787878788	0.7690623207146196	0.7199999999999999	0.7941176470588235	0.5587376953345927
9	Leave_Miao_out	Miao	0.4	0.26235548764960526	0.25	0.6470588235294118	0.03984095364447979
10	Leave_Riaz_out	Riaz	0.7341463414634146	0.5940642153545379	0.4117647058823529	0.6078431372549019	0.22698984612511292
11	Leave_Rose_out	Rose	0.7303082191780822	0.45145146147694065	0.3157894736842105	0.8539325842696629	0.39894482919845703
12	Leave_SU2CLC1_out	SU2CLC1	0.7736430921052632	0.706554879001018	0.6666666666666666	0.7745098039215687	0.5048368360128652
13	Leave_SU2CLC2_out	SU2CLC2	0.8161764705882353	0.7138392857142857	0.5	0.76	0.40230863885375184
14	Leave_Snyder_out	Snyder	0.3673469387755102	0.3698940673067166	0.0	0.6666666666666666	0.0
15	Leave_Zhao_out	Zhao	0.6818181818181818	0.5770226713274842	0.0	0.56	0.0
