BroadCelltypePathway	total_num_genes	unique_genes	num_genesets	total_num_unique_genes
Memory_Bcell	3	AIM2:CLECL1:TNFRSF13B	1	3
Stem	4	AVP:CRHBP:NRIP1:CD34	1	4
Pericyte	5	NDUFA4L2:CSPG4:RGS5:COX4I2:SOD3	1	5
Naive_Bcell	5	CD72:FCRL1:BTLA:TCL1A:FCER2	1	5
Hepatocyte	5	ALDOB:APOC3:PCK1:TAT:APOH	1	5
Pneumocyte	6	SPTB:AGER:CFTR:PGC:NAPSA:ABCA3	1	6
Plasma_cell	6	FCRL2:JSRP1:IGLL5:FCRL5:DERL3:TNFRSF17	1	6
Mesothelial	6	CCDC80:UPK3B:CALB2:PTGIS:PRG4:PLA2G2A	1	6
Platelet	7	PPBP:PF4:TREML1:TMEM40:GP9:ACRBP:ITGB3	1	7
pDC	7	LILRA4:SCT:PTCRA:ASIP:CLEC4C:LRRC26:SLC12A3	1	7
Erythrocyte	8	AHSP:CA1:PAN3:TPM1:KCNN4:HBD:ERMAP:HBB	1	8
Mast	8	VWA5A:HDC:HPGDS:TPSAB1:CPA3:MS4A2	2	6
Naive_Tcell	9	TRABD2A:TCF7:CAMK4:NELL2:IL7R:CCR7:MAL:LEF1	2	8
Adipocyte	9	FABP4:LEP:UCP1:LHX8:CIDEA:TCF21:ADIPOQ:P2RX5:PRDM16	1	9
Endothelial	13	ECSCR:ICAM2:FLT4:ERG:TIE1:CDH5:KDR:ESAM:ESM1:MYCT1:ANGPT2	2	11
Immune_checkpoint	13	CD274:LAG3:TIGIT:HAVCR2:CTLA4:PDCD1:PDCD1LG2	5	7
Bcell_general	14	SPIB:MS4A1:FCRL2:CR2:TNFRSF17:PAX5:TCL1A:VPREB3:CD19:PNOC:BLK:TNFRSF13C	2	12
TLS	15	CETP:CXCL13:CCL21:RBP5:CXCR5:LAMP3:LAT:CCR7:SKAP1:SELL:PTGDS:CCL19:CD79B:CD1D:EIF1AY	2	15
Memory_Tcell	15	CD40LG:SERINC5:IL7R:TNFRSF4:AQP3:PKIA:STING1:CD84:PHACTR2:GPR171:AP3M2:GZMK	2	12
Apoptosis_pathway	16	BCL2L1:BCL2L2:BCL2L11:BID:BCL2:BBC3:CASP3:BAD:CASP9:TNF:BAX:MCL1:CASP8:FASLG:PMAIP1:FAS	2	16
Pancreatic	18	LEPR:IAPP:BAIAP3:RGS2:ADCYAP1:CRYBA2:STMN2:MAFA:INS:IRX2:HADH:GCG:DPYSL3:MEIS1:PPY:RBP4:GC:FGB	1	18
Fibroblast	19	MMP3:MFAP5:DCN:CHI3L1:WNT2:PCOLCE:CEMIP:PDGFRB:EMILIN1:ACTA2:FAP:TCF21:IL11:BGN:COL11A1:COL7A1:CYGB:MFAP4	3	18
