	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.6923076923076924	0.24067460317460318	0.4	0.625	Choueiri	ICA	
Test	0.31666666666666665	0.2118537671478848	0.2857142857142857	0.4117647058823529	Miao	ICA	
Test	0.7142857142857142	0.5021413110698825	0.631578947368421	0.6666666666666666	Snyder	ICA	
Test	0.3088235294117647	0.23114900746454453	0.2	0.36	SU2CLC2	ICA	
Test	0.0064935064935064905	0.26189445779131165	0.08	0.08	Zhao	ICA	
Test	0.5892857142857143	0.5861780507277402	0.6666666666666666	0.6538461538461539	Hugo	ICA	
Test	0.3371212121212121	0.2757427319152357	0.4	0.5588235294117647	MGH	ICA	
Test	0.6420118343195267	0.41652394910164614	0.5185185185185186	0.6666666666666666	Allen	ICA	
Test	0.7196969696969697	0.5703566063876909	0.5	0.6444444444444445	Kim	ICA	
Test	0.5463414634146342	0.24314559151192516	0.35294117647058826	0.5686274509803921	Riaz	ICA	
Test	0.803030303030303	0.8428192492412271	0.7123287671232875	0.7123287671232876	Gide	ICA	
Test	0.5368150684931507	0.2056844844519351	0.3529411764705882	0.6292134831460674	Rose	ICA	
Test	0.5711348684210525	0.410344313927704	0.5168539325842696	0.5784313725490197	SU2CLC1	ICA	
Test	0.5369549150036954	0.45569869160097376	0.4444444444444445	0.5327102803738317	Liu	ICA	
Test	0.686965811965812	0.42636494709699113	0.5499999999999999	0.6727272727272727	IMmotion150	ICA	
Test	0.5569053708439897	0.2592488170559696	0.34449760765550236	0.540268456375839	IMVigor210	ICA	
