	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.6923076923076923	0.24722222222222223	0.5	0.75	Choueiri	IS	
Test	0.2333333333333333	0.19560224089635855	0.3333333333333333	0.5294117647058824	Miao	IS	
Test	0.5612244897959184	0.3416010576724862	0.5	0.6190476190476191	Snyder	IS	
Test	0.40441176470588236	0.270093814699793	0.36363636363636365	0.44	SU2CLC2	IS	
Test	0.2077922077922078	0.2977476877305253	0.2727272727272727	0.36	Zhao	IS	
Test	0.0119047619047619	0.33737527012213087	0.0	0.07692307692307693	Hugo	IS	
Test	0.3143939393939394	0.26204651867858125	0.41379310344827586	0.5	MGH	IS	
Test	0.6005917159763314	0.3635883784252444	0.5161290322580646	0.6153846153846154	Allen	IS	
Test	0.8080808080808081	0.7367837738612467	0.6206896551724139	0.7555555555555555	Kim	IS	
Test	0.5463414634146342	0.39661673333080927	0.29411764705882354	0.5294117647058824	Riaz	IS	
Test	0.7772727272727272	0.8092310845651091	0.775	0.7534246575342466	Gide	IS	
Test	0.5813356164383562	0.21674234441439114	0.34615384615384615	0.6179775280898876	Rose	IS	
Test	0.594983552631579	0.49885869292071855	0.45977011494252873	0.5392156862745098	SU2CLC1	IS	
Test	0.4940872135994087	0.3659262688489419	0.5208333333333334	0.5700934579439252	Liu	IS	
Test	0.6363960113960114	0.3722271799452861	0.46774193548387094	0.6	IMmotion150	IS	
Test	0.5159207161125319	0.2368595108792304	0.34703196347031967	0.5201342281879194	IMVigor210	IS	
