	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.05128205128205128	0.10148809523809524	0.0	0.1875	Choueiri	PD1	
Test	0.55	0.3002976190476191	0.5333333333333333	0.5882352941176471	Miao	PD1	
Test	0.5	0.3064150660264106	0.47058823529411764	0.5714285714285714	Snyder	PD1	
Test	0.07352941176470588	0.1846205434534954	0.0	0.24	SU2CLC2	PD1	
Test	0.39610389610389607	0.3613256439238769	0.45454545454545453	0.52	Zhao	PD1	
Test	0.029761904761904774	0.34098597139564724	0.21428571428571427	0.15384615384615385	Hugo	PD1	
Test	0.20075757575757577	0.2282723771873958	0.0909090909090909	0.4117647058823529	MGH	PD1	
Test	0.5562130177514794	0.35283458702003956	0.38461538461538464	0.5897435897435898	Allen	PD1	
Test	0.7398989898989898	0.475012789844358	0.5161290322580646	0.6666666666666666	Kim	PD1	
Test	0.5780487804878048	0.34236921617813876	0.3333333333333333	0.6078431372549019	Riaz	PD1	
Test	0.743939393939394	0.7657817899595102	0.6666666666666665	0.6712328767123288	Gide	PD1	
Test	0.589041095890411	0.2338806590370051	0.3846153846153846	0.6404494382022472	Rose	PD1	
Test	0.6332236842105262	0.5005534642474951	0.5476190476190477	0.6274509803921569	SU2CLC1	PD1	
Test	0.4449371766444937	0.35206105314590097	0.3902439024390244	0.5327102803738317	Liu	PD1	
Test	0.6164529914529915	0.3811771216983556	0.45217391304347826	0.6181818181818182	IMmotion150	PD1	
Test	0.5117007672634271	0.24197687478456864	0.3212435233160622	0.5604026845637584	IMVigor210	PD1	
