	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.2564102564102564	0.12171855921855922	0.0	0.5	Choueiri	FFT	42
Test	0.5833333333333333	0.30106060606060603	0.4000000000000001	0.6470588235294118	Miao	FFT	42
Test	0.5	0.4328770902300314	0.25	0.42857142857142855	Snyder	FFT	42
Test	0.16911764705882354	0.19912805438380884	0.0	0.32	SU2CLC2	FFT	42
Test	0.39610389610389607	0.36318333192156904	0.45454545454545453	0.52	Zhao	FFT	42
Test	0.41666666666666663	0.5132894014595911	0.4666666666666667	0.38461538461538464	Hugo	FFT	42
Test	0.49242424242424243	0.3864261060153294	0.28571428571428575	0.5588235294117647	MGH	FFT	42
Test	0.40532544378698226	0.27933552990983473	0.2608695652173913	0.5641025641025641	Allen	FFT	42
Test	0.8257575757575757	0.701488859856	0.6363636363636365	0.8222222222222222	Kim	FFT	42
Test	0.5414634146341463	0.3817056465551085	0.30769230769230765	0.8235294117647058	Riaz	FFT	42
Test	0.7659090909090909	0.7739709647471544	0.776470588235294	0.7397260273972602	Gide	FFT	42
Test	0.5573630136986302	0.24691625598983682	0.1875	0.7078651685393258	Rose	FFT	42
Test	0.5020559210526316	0.39150893952942467	0.4358974358974359	0.5686274509803921	SU2CLC1	FFT	42
Test	0.4807834441980784	0.40383182100039894	0.35897435897435903	0.5327102803738317	Liu	FFT	42
Test	0.707977207977208	0.5578661080298107	0.5168539325842697	0.7393939393939394	IMmotion150	FFT	42
Test	0.6606138107416879	0.3533953743356197	0.3361344537815126	0.7348993288590604	IMVigor210	FFT	42
