	train_cohort	test_cohort	ROC	PRC	F1	ACC	MCC	mode	best_C
0	Allen	Allen	0.6745562130177516	0.43442585232450714	0.5517241379310345	0.6666666666666666	0.29488391230979427	CIS	0.1
1	Allen	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	CIS	0.1
2	Allen	Gide	0.7916666666666666	0.8295955432229817	0.7027027027027027	0.6986301369863014	0.4066525949915872	CIS	0.1
3	Allen	Hugo	0.4464285714285714	0.4875385182637168	0.4	0.4230769230769231	-0.14414999403128945	CIS	0.1
4	Allen	IMVigor210	0.5375319693094629	0.24853142263935182	0.3469387755102041	0.5704697986577181	0.077407026981321	CIS	0.1
5	Allen	IMmotion150	0.7118945868945868	0.4529657552569461	0.5309734513274336	0.6787878787878788	0.30288715912647746	CIS	0.1
6	Allen	Kim	0.7196969696969696	0.5025217171135594	0.6206896551724139	0.7555555555555555	0.46296161898907995	CIS	0.1
7	Allen	Liu	0.5380635624538064	0.45624488589931533	0.4444444444444445	0.5327102803738317	0.04723841995047438	CIS	0.1
8	Allen	MGH	0.44696969696969696	0.4365644427432852	0.4444444444444445	0.5588235294117647	0.08749572785196143	CIS	0.1
9	Allen	Miao	0.55	0.28661616161616155	0.3636363636363636	0.5882352941176471	0.06356417261637282	CIS	0.1
10	Allen	Riaz	0.6682926829268292	0.5418373286826269	0.35294117647058826	0.5686274509803921	0.12804555422442265	CIS	0.1
11	Allen	Rose	0.5907534246575343	0.22220929724490596	0.3137254901960784	0.6067415730337079	0.10230368196089364	CIS	0.1
12	Allen	SU2CLC1	0.6077302631578947	0.4680739636345671	0.47368421052631576	0.6078431372549019	0.1611842105263158	CIS	0.1
13	Allen	SU2CLC2	0.3308823529411765	0.24566392600917353	0.22222222222222224	0.44	-0.2100420126042015	CIS	0.1
14	Allen	Snyder	0.7142857142857142	0.7083840553765366	0.588235294117647	0.6666666666666666	0.337099931231621	CIS	0.1
15	Allen	Zhao	0.49999999999999994	0.48467978137854484	0.47619047619047616	0.56	0.09869275424396534	CIS	0.1
16	Choueiri	Allen	0.6745562130177516	0.43442585232450714	0.5	0.6410256410256411	0.223606797749979	CIS	0.1
17	Choueiri	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	CIS	0.1
18	Choueiri	Gide	0.7916666666666666	0.8295955432229817	0.6944444444444444	0.6986301369863014	0.41413565163204397	CIS	0.1
19	Choueiri	Hugo	0.4464285714285714	0.4875385182637168	0.4	0.4230769230769231	-0.14414999403128945	CIS	0.1
20	Choueiri	IMVigor210	0.5375319693094629	0.24853142263935182	0.3455497382198953	0.5805369127516778	0.08011749839298092	CIS	0.1
21	Choueiri	IMmotion150	0.7118945868945868	0.4529657552569461	0.509090909090909	0.6727272727272727	0.2745198838966334	CIS	0.1
22	Choueiri	Kim	0.7196969696969696	0.5025217171135594	0.5714285714285715	0.7333333333333333	0.39192475766909796	CIS	0.1
23	Choueiri	Liu	0.5380635624538064	0.45624488589931533	0.42696629213483145	0.5233644859813084	0.0234802564533817	CIS	0.1
24	Choueiri	MGH	0.44696969696969696	0.4365644427432852	0.4444444444444445	0.5588235294117647	0.08749572785196143	CIS	0.1
25	Choueiri	Miao	0.55	0.28661616161616155	0.3636363636363636	0.5882352941176471	0.06356417261637282	CIS	0.1
26	Choueiri	Riaz	0.6682926829268292	0.5418373286826269	0.35294117647058826	0.5686274509803921	0.12804555422442265	CIS	0.1
27	Choueiri	Rose	0.5907534246575343	0.22220929724490596	0.3137254901960784	0.6067415730337079	0.10230368196089364	CIS	0.1
28	Choueiri	SU2CLC1	0.6077302631578947	0.4680739636345671	0.47368421052631576	0.6078431372549019	0.1611842105263158	CIS	0.1
29	Choueiri	SU2CLC2	0.3308823529411765	0.24566392600917353	0.23529411764705882	0.48	-0.1572070363806331	CIS	0.1
30	Choueiri	Snyder	0.7142857142857142	0.7083840553765366	0.588235294117647	0.6666666666666666	0.337099931231621	CIS	0.1
31	Choueiri	Zhao	0.49999999999999994	0.48467978137854484	0.47619047619047616	0.56	0.09869275424396534	CIS	0.1
32	Gide	Allen	0.6745562130177516	0.43442585232450714	0.5517241379310345	0.6666666666666666	0.29488391230979427	CIS	0.1
33	Gide	Choueiri	0.717948717948718	0.26011904761904764	0.5	0.625	0.4236592728681617	CIS	0.1
34	Gide	Gide	0.7916666666666666	0.8295955432229817	0.708860759493671	0.684931506849315	0.3658361635240301	CIS	0.1
35	Gide	Hugo	0.4464285714285714	0.4875385182637168	0.4827586206896552	0.4230769230769231	-0.16817499303650435	CIS	0.1
36	Gide	IMVigor210	0.5375319693094629	0.24853142263935182	0.35714285714285715	0.5167785234899329	0.07048699389295487	CIS	0.1
37	Gide	IMmotion150	0.7118945868945868	0.4529657552569461	0.5362318840579711	0.6121212121212121	0.28991640082649023	CIS	0.1
38	Gide	Kim	0.7196969696969696	0.5025217171135594	0.5142857142857143	0.6222222222222222	0.2881820052118444	CIS	0.1
39	Gide	Liu	0.5380635624538064	0.45624488589931533	0.45161290322580644	0.5233644859813084	0.041338139610378064	CIS	0.1
40	Gide	MGH	0.44696969696969696	0.4365644427432852	0.4444444444444445	0.5588235294117647	0.08749572785196143	CIS	0.1
41	Gide	Miao	0.55	0.28661616161616155	0.2857142857142857	0.4117647058823529	-0.16735967034880075	CIS	0.1
42	Gide	Riaz	0.6682926829268292	0.5418373286826269	0.33333333333333337	0.5294117647058824	0.08910646708599686	CIS	0.1
43	Gide	Rose	0.5907534246575343	0.22220929724490596	0.3157894736842105	0.5617977528089888	0.09563878139276169	CIS	0.1
44	Gide	SU2CLC1	0.6077302631578947	0.4680739636345671	0.5416666666666666	0.5686274509803921	0.1798274118053964	CIS	0.1
45	Gide	SU2CLC2	0.3308823529411765	0.24566392600917353	0.2	0.36	-0.3158101459191266	CIS	0.1
46	Gide	Snyder	0.7142857142857142	0.7083840553765366	0.5263157894736842	0.5714285714285714	0.2041241452319315	CIS	0.1
47	Gide	Zhao	0.49999999999999994	0.48467978137854484	0.45454545454545453	0.52	0.025974025974025976	CIS	0.1
48	Hugo	Allen	0.3254437869822485	0.24312423611335446	0.27777777777777773	0.3333333333333333	-0.29488391230979427	CIS	0.1
49	Hugo	Choueiri	0.282051282051282	0.1276871276871277	0.0	0.375	-0.4236592728681617	CIS	0.1
50	Hugo	Gide	0.20833333333333334	0.38844777646648465	0.32	0.3013698630136986	-0.39547451389050753	CIS	0.1
51	Hugo	Hugo	0.5535714285714286	0.5443783385986721	0.5925925925925927	0.5769230769230769	0.1543033499620919	CIS	0.1
52	Hugo	IMVigor210	0.4624680306905371	0.2178504837510138	0.26905829596412556	0.45302013422818793	-0.08593453681521879	CIS	0.1
53	Hugo	IMmotion150	0.2881054131054131	0.19959419911345777	0.19999999999999998	0.3696969696969697	-0.2896917077123605	CIS	0.1
54	Hugo	Kim	0.28030303030303033	0.18490560617712373	0.16666666666666666	0.3333333333333333	-0.3424747597107866	CIS	0.1
55	Hugo	Liu	0.4619364375461937	0.4102530490405252	0.4285714285714285	0.4766355140186916	-0.03240829499241755	CIS	0.1
56	Hugo	MGH	0.553030303030303	0.5683038619232504	0.3870967741935484	0.4411764705882353	-0.08749572785196143	CIS	0.1
57	Hugo	Miao	0.44999999999999996	0.25022893772893773	0.42857142857142855	0.5294117647058824	0.09128709291752769	CIS	0.1
58	Hugo	Riaz	0.33170731707317075	0.14745949562159227	0.21621621621621623	0.43137254901960786	-0.12804555422442265	CIS	0.1
59	Hugo	Rose	0.4092465753424657	0.15425735352421294	0.2058823529411765	0.39325842696629215	-0.13941911797356227	CIS	0.1
60	Hugo	SU2CLC1	0.39226973684210525	0.31724038980900393	0.34090909090909094	0.43137254901960786	-0.14714085143814862	CIS	0.1
61	Hugo	SU2CLC2	0.6691176470588235	0.5266594516594516	0.5714285714285714	0.64	0.3158101459191266	CIS	0.1
62	Hugo	Snyder	0.2857142857142857	0.24920461406253086	0.25	0.42857142857142855	-0.2041241452319315	CIS	0.1
63	Hugo	Zhao	0.5	0.49812426221868944	0.4799999999999999	0.48	-0.025974025974025976	CIS	0.1
64	IMVigor210	Allen	0.6745562130177516	0.43442585232450714	0.5517241379310345	0.6666666666666666	0.29488391230979427	CIS	0.1
65	IMVigor210	Choueiri	0.717948717948718	0.26011904761904764	0.5	0.625	0.4236592728681617	CIS	0.1
66	IMVigor210	Gide	0.7916666666666666	0.8295955432229817	0.7272727272727273	0.7123287671232876	0.42534372090966727	CIS	0.1
67	IMVigor210	Hugo	0.4464285714285714	0.4875385182637168	0.4444444444444445	0.4230769230769231	-0.1543033499620919	CIS	0.1
68	IMVigor210	IMVigor210	0.5375319693094629	0.24853142263935182	0.34782608695652173	0.5469798657718121	0.06863194989118396	CIS	0.1
69	IMVigor210	IMmotion150	0.7118945868945868	0.4529657552569461	0.5322580645161291	0.6484848484848484	0.29156321341406716	CIS	0.1
70	IMVigor210	Kim	0.7196969696969696	0.5025217171135594	0.5625000000000001	0.6888888888888889	0.37080992435478316	CIS	0.1
71	IMVigor210	Liu	0.5380635624538064	0.45624488589931533	0.43956043956043955	0.5233644859813084	0.03240829499241755	CIS	0.1
72	IMVigor210	MGH	0.44696969696969696	0.4365644427432852	0.4444444444444445	0.5588235294117647	0.08749572785196143	CIS	0.1
73	IMVigor210	Miao	0.55	0.28661616161616155	0.3076923076923077	0.47058823529411764	-0.09128709291752769	CIS	0.1
74	IMVigor210	Riaz	0.6682926829268292	0.5418373286826269	0.35294117647058826	0.5686274509803921	0.12804555422442265	CIS	0.1
75	IMVigor210	Rose	0.5907534246575343	0.22220929724490596	0.30769230769230765	0.5955056179775281	0.09110208190968476	CIS	0.1
76	IMVigor210	SU2CLC1	0.6077302631578947	0.4680739636345671	0.5176470588235293	0.5980392156862745	0.18266419151395719	CIS	0.1
77	IMVigor210	SU2CLC2	0.3308823529411765	0.24566392600917353	0.2105263157894737	0.4	-0.2625752465908215	CIS	0.1
78	IMVigor210	Snyder	0.7142857142857142	0.7083840553765366	0.5263157894736842	0.5714285714285714	0.2041241452319315	CIS	0.1
79	IMVigor210	Zhao	0.49999999999999994	0.48467978137854484	0.47619047619047616	0.56	0.09869275424396534	CIS	0.1
80	IMmotion150	Allen	0.6745562130177516	0.43442585232450714	0.5517241379310345	0.6666666666666666	0.29488391230979427	CIS	0.1
81	IMmotion150	Choueiri	0.717948717948718	0.26011904761904764	0.4444444444444444	0.6875	0.28941438070815306	CIS	0.1
82	IMmotion150	Gide	0.7916666666666666	0.8295955432229817	0.72	0.7123287671232876	0.43094646456389274	CIS	0.1
