,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
0,Allen,Choueiri,0.7692307692307693,0.5323412698412698,0.4,0.4375,0.2773500981126145,NFT,,Allen$\mapsto$Choueiri,0.6953125,False,True
1,Allen,Gide,0.7234848484848484,0.7235272112830128,0.4745762711864406,0.5753424657534246,0.2251337707237686,NFT,,Allen$\mapsto$Gide,0.5045974854569337,True,False
2,Allen,Hugo,0.3392857142857143,0.4196934685845662,0.4827586206896552,0.4230769230769231,-0.1681749930365043,NFT,,Allen$\mapsto$Hugo,0.5029585798816568,False,True
3,Allen,IMVigor210,0.5653452685421996,0.2867463719470905,0.3917525773195875,0.6040268456375839,0.149696395380869,NFT,,Allen$\mapsto$IMVigor210,0.6477636142516103,False,True
4,Allen,IMmotion150,0.5559116809116809,0.3217027498683907,0.4217687074829932,0.4848484848484848,0.0599243746255562,NFT,,Allen$\mapsto$IMmotion150,0.5874380165289257,False,True
5,Allen,Kim,0.8080808080808081,0.5637880461990369,0.4782608695652174,0.4666666666666667,0.2260663167787616,NFT,,Allen$\mapsto$Kim,0.6088888888888889,False,True
6,Allen,Liu,0.6031042128603104,0.4776441339699464,0.3384615384615385,0.5981308411214953,0.0831282706568158,NFT,,Allen$\mapsto$Liu,0.5272949602585378,True,False
7,Allen,Freeman,0.678030303030303,0.6025540460451131,0.5925925925925926,0.6764705882352942,0.3354002900991854,NFT,,Allen$\mapsto$Freeman,0.5432525951557093,True,False
8,Allen,Miao,0.4166666666666667,0.2389943389943389,0.0,0.3529411764705882,-0.4767312946227961,NFT,,Allen$\mapsto$Miao,0.5847750865051904,False,True
9,Allen,Riaz,0.4707317073170731,0.2643229308184438,0.3428571428571428,0.5490196078431373,0.1084774381916483,NFT,,Allen$\mapsto$Riaz,0.6847366397539408,False,True
10,Allen,Rose,0.5599315068493151,0.2568036537864038,0.3389830508474576,0.5617977528089888,0.1328974978991366,NFT,,Allen$\mapsto$Rose,0.7050877414467871,False,True
11,Allen,Ravi-1,0.4021381578947368,0.3041285538485687,0.5217391304347826,0.3529411764705882,-0.1835325870964494,NFT,,Allen$\mapsto$Ravi-1,0.532487504805844,False,True
