	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	PD1	0.1	0.5874380165289257	0.6301638176638177	0.4112163553080204	0.46153846153846156	0.4909090909090909	0.12857571271486287
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	PD1	0.1	0.6477636142516103	0.5416560102301791	0.25599081911930066	0.2831858407079646	0.7281879194630873	0.12799793833499895
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	PD1	0.1	0.7551020408163265	0.48148148148148145	0.1270152505446623	0.2	0.6190476190476191	0.0
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	PD1	0.1	0.58	0.48809523809523814	0.26629259221170987	0.47619047619047616	0.45	0.12598815766974242
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	PD1	0.1	0.5246913580246914	0.4884559884559885	0.44300202317107873	0.16666666666666666	0.6296296296296297	0.13819749820569552
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	PD1	0.1	0.5351936693044566	0.517921146953405	0.4708014545181942	0.45614035087719296	0.3673469387755102	-0.13933619725752808
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	PD1	0.1	0.5144861928474422	0.6286713286713287	0.5301486676873554	0.13636363636363635	0.5957446808510638	0.0890482930290988
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	PD1	0.1	0.6088888888888889	0.7525252525252526	0.4853138051798854	0.5384615384615384	0.7333333333333333	0.354588688243029
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	PD1	0.1	0.5775941230486685	0.8086956521739131	0.5154799729256252	0.5555555555555556	0.5151515151515151	0.34213572772701034
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	PD1	0.1	0.6088888888888889	0.7525252525252526	0.4853138051798854	0.43999999999999995	0.37777777777777777	0.12016450333006204
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	PD1	0.1	0.5775941230486685	0.8086956521739131	0.5154799729256252	0.6666666666666667	0.7272727272727273	0.5077563354244661
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	PD1	0.1	0.5144861928474422	0.6286713286713287	0.5301486676873554	0.21739130434782608	0.6170212765957447	0.17236295521276604
12	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Atezo	(BLCA,NovaSeq6000)Pembro	PD1	0.1	0.7419659735349716	0.4908424908424908	0.14440711510832466	0.27586206896551724	0.5434782608695652	0.07901744265512675
13	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Pembro	(BLCA,NovaSeq6000)Atezo	PD1	0.1	0.6179591836734695	0.24786324786324784	0.16816693970549107	0.18750000000000003	0.2571428571428571	-0.4013633399524028
14	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Nivo	(LUAD,HiSeq2500)Pembro	PD1	0.1	0.5775941230486685	0.8086956521739131	0.5154799729256252	0.6	0.6363636363636364	0.3966624977531224
15	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Pembro	(LUAD,HiSeq2500)Nivo	PD1	0.1	0.5351936693044566	0.517921146953405	0.4708014545181942	0.42424242424242425	0.6122448979591837	0.13684239690650238
16	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Nivo	PD1	0.1	0.5246913580246914	0.4884559884559885	0.44300202317107873	0.16	0.6111111111111112	0.06446583712203043
17	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Pembro	PD1	0.1	0.5144861928474422	0.6286713286713287	0.5301486676873554	0.32727272727272727	0.6063829787234043	0.13568506077725737
18	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Ipi	PD1	0.1	0.5555555555555556	0.6301775147928994	0.39654798560576815	0.5555555555555555	0.5897435897435898	0.25802342327107003
19	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Pembro	PD1	0.1	0.5144861928474422	0.6286713286713287	0.5301486676873554	0.49350649350649345	0.5851063829787234	0.14228991617967962
20	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Ipi	PD1	0.1	0.5555555555555556	0.6301775147928994	0.39654798560576815	0.5714285714285714	0.6153846153846154	0.29250896965085227
21	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Nivo	PD1	0.1	0.5246913580246914	0.4884559884559885	0.44300202317107873	0.4	0.5555555555555556	0.04861121766990861
22	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)HiSeq4000	PD1	0.1	0.5555555555555555	0.5816326530612245	0.4837175254717272	0.5185185185185185	0.38095238095238093	0.15811388300841897
23	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)NovaSeq6000	PD1	0.1	0.6179591836734695	0.7521367521367521	0.5974426618667655	0.47058823529411764	0.4857142857142857	0.22739701341354882
24	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)HiSeq2500	PD1	0.1	0.6477636142516103	0.5416560102301791	0.25599081911930066	0.0	0.7718120805369127	0.0
25	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)NovaSeq6000	PD1	0.1	0.6179591836734695	0.7521367521367521	0.5974426618667655	0.0	0.7428571428571429	0.0
26	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq2500	PD1	0.1	0.6477636142516103	0.5416560102301791	0.25599081911930066	0.08988764044943819	0.7281879194630873	-0.02474252949837263
27	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq4000	PD1	0.1	0.5555555555555555	0.5816326530612245	0.4837175254717272	0.56	0.47619047619047616	0.28867513459481287
28	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2000/2500	(SKCM,Nivo)HiSeq2500	PD1	0.1	0.5246913580246914	0.4884559884559885	0.44300202317107873	0.16	0.6111111111111112	0.06446583712203043
29	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2500	(SKCM,Nivo)HiSeq2000/2500	PD1	0.1	0.6847366397539408	0.6524390243902439	0.3999407048058288	0.35	0.49019607843137253	0.1121534538591815
30	sequencer2sequencer	(SKCM,Pembro)	(SKCM,Pembro)HiSeq2000	(SKCM,Pembro)HiSeq2500	PD1	0.1	0.5144861928474422	0.3713286713286713	0.342330769490697	0.532258064516129	0.3829787234042553	-0.16627817054974828
31	sequencer2sequencer	(SKCM,Pembro)	(SKCM,Pembro)HiSeq2500	(SKCM,Pembro)HiSeq2000	PD1	0.1	0.5029585798816568	0.5238095238095237	0.5086113575411549	0.7058823529411764	0.6153846153846154	0.2253744679276044
