	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	NFT	0	0.5874380165289257	0.6383547008547008	0.3738304457567819	0.03636363636363636	0.6787878787878788	-0.06861277703826778
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	NFT	0	0.6477636142516103	0.5754475703324807	0.2905778041084591	0.36236933797909404	0.3859060402684564	0.03671833342619844
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	NFT	0	0.7551020408163265	0.5925925925925926	0.15460927960927962	0.26666666666666666	0.47619047619047616	0.07856742013183861
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	NFT	0	0.58	0.5952380952380952	0.3322722144413321	0.5	0.7	0.2857142857142857
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	NFT	0	0.5246913580246914	0.5137085137085137	0.4072014143658023	0.5797101449275361	0.46296296296296297	0.16116459280507606
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	NFT	0	0.5351936693044566	0.5734767025089605	0.40898137335689405	0.5172413793103448	0.42857142857142855	0.03346747203760412
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	NFT	0	0.5144861928474422	0.6163170163170163	0.6082195912620237	0.5194805194805194	0.6063829787234043	0.18628745605102792
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	NFT	0	0.6088888888888889	0.6136363636363636	0.31934038715409063	0.42857142857142855	0.6444444444444445	0.18196506606065263
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	NFT	0	0.5775941230486685	0.7869565217391304	0.6451797662411473	0.5405405405405406	0.48484848484848486	0.3108349360801046
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	NFT	0	0.6088888888888889	0.6287878787878788	0.3320874840143934	0.4230769230769231	0.3333333333333333	0.05330017908890261
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	NFT	0	0.5775941230486685	0.7217391304347825	0.5530365669276959	0.5161290322580645	0.5454545454545454	0.22430015382565205
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	NFT	0	0.5144861928474422	0.5832167832167832	0.44808171499011806	0.4507042253521127	0.5851063829787234	0.12409534281886458
12	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Atezo	(BLCA,NovaSeq6000)Pembro	NFT	0	0.7419659735349716	0.34432234432234426	0.10936288878361053	0.24242424242424246	0.45652173913043476	0.0053081966103258015
13	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Pembro	(BLCA,NovaSeq6000)Atezo	NFT	0	0.6179591836734695	0.2735042735042735	0.1718771426211853	0.2222222222222222	0.4	-0.21301305143216562
14	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Nivo	(LUAD,HiSeq2500)Pembro	NFT	0	0.5775941230486685	0.6478260869565218	0.4413630574920897	0.5384615384615384	0.6363636363636364	0.28386377807194557
15	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Pembro	(LUAD,HiSeq2500)Nivo	NFT	0	0.5351936693044566	0.5286738351254481	0.3761321940065041	0.33333333333333337	0.5918367346938775	0.05826253990184326
16	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Nivo	NFT	0	0.5246913580246914	0.6089466089466089	0.5315934825675086	0.5263157894736842	0.6666666666666666	0.27717825078843333
17	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Pembro	NFT	0	0.5144861928474422	0.6475524475524476	0.56609076696024	0.5853658536585366	0.6382978723404256	0.26695963485823776
