	concept
0	pDC
1	Cytotoxic_Tcell
2	Memory_Tcell
3	NKcell
4	Immune_checkpoint
5	IFNg_pathway
6	CD8_Tcell
7	TLS
8	Tcell_general
9	Plasma_cell
10	Pancreatic
11	Naive_Bcell
12	Treg
13	cDC
14	Apoptosis_pathway
15	Innate_lymphoid_cell
16	TGFb_pathway
17	Memory_Bcell
18	Bcell_general
19	CD4_Tcell
20	Genome_integrity
21	Cell_proliferation
22	Fibroblast
23	Erythrocyte
24	Pericyte
25	Stem
26	Monocyte
27	Exhausted_Tcell
28	Naive_Tcell
29	Macrophage
30	Epithelial
31	Stroma
32	Cytokine
33	Endothelial
34	Hepatocyte
35	Reference
36	Pneumocyte
37	Platelet
38	Myeloid
39	Mast
40	Adipocyte
41	Mesothelial
42	Granulocyte
