	concept
0	Cell_proliferation
1	Immune_checkpoint
2	IFNg_pathway
3	Fibroblast
4	Pericyte
5	Bcell_general
6	CD4_Tcell
7	CD8_Tcell
8	Memory_Tcell
9	Cytotoxic_Tcell
10	TGFb_pathway
11	Pancreatic
12	NKcell
13	Naive_Bcell
14	Naive_Tcell
15	Memory_Bcell
16	Plasma_cell
17	Pneumocyte
18	Monocyte
19	Stroma
20	Tcell_general
21	Treg
22	cDC
23	Myeloid
24	pDC
25	Exhausted_Tcell
26	Macrophage
27	Endothelial
28	Erythrocyte
29	Genome_integrity
30	Apoptosis_pathway
31	Mesothelial
32	Cytokine
33	Epithelial
34	TLS
35	Adipocyte
36	Platelet
37	Granulocyte
38	Hepatocyte
39	Innate_lymphoid_cell
40	Mast
41	Stem
42	Reference
