,Index
0,MEL-IPI_Pat02-Tumor-SM-4DJZX
1,MEL-IPI_Pat88-Tumor-SM-4DK3E
2,MEL-IPI_Pat15-Tumor-SM-4DK1B
3,MEL-IPI_Pat40-Tumor-SM-4DK21
4,MEL-IPI_Pat79-Tumor-SM-53U2S
5,MEL-IPI_Pat39-Tumor-SM-4DK1Z
6,MEL-IPI_Pat19-Tumor-SM-4DK1F
7,MEL-IPI_Pat47-Tumor-SM-4DK28
8,MEL-IPI_Pat118-Tumor-SM-5X2QV
9,MEL-IPI_Pat44-Tumor-SM-4DK25
10,MEL-IPI_Pat46-Tumor-SM-53U48
11,MEL-IPI_Pat27-Tumor-SM-4DK1N
12,MEL-IPI_Pat45-Tumor-SM-4DK26
13,MEL-IPI_Pat37-Tumor-SM-53U3Y
14,MEL-IPI_Pat81-Tumor-SM-4DK37
15,MEL-IPI_Pat28-Tumor-SM-4DK1O
16,MEL-IPI_Pat126-Tumor-SM-5X2R4
17,MEL-IPI_Pat03-Tumor-SM-4DJZY
18,MEL-IPI_Pat119-Tumor-SM-7459N
19,MEL-IPI_Pat16-Tumor-SM-53U3E
20,MEL-IPI_Pat36-Tumor-SM-53U3X
21,MEL-IPI_Pat06-Tumor-SM-4DK12
22,MEL-IPI_Pat123-Tumor-SM-5X2R1
23,MEL-IPI_Pat85-Tumor-SM-53U2Y
24,MEL-IPI_Pat08-Tumor-SM-4DK14
25,MEL-IPI_Pat38-Tumor-SM-53U3Z
26,MEL-IPI_Pat80-Tumor-SM-4DK36
27,MEL-IPI_Pat14-Tumor-SM-53U3C
28,MEL-IPI_Pat49-Tumor-SM-4DK2A
29,MEL-IPI_Pat98-Tumor-SM-4CU6L
30,MEL-IPI_Pat90-Tumor-SM-4DK3G
31,Choueiri_CCR_2016-p105-ar-265
32,Choueiri_CCR_2016-p099-ar-320
33,Choueiri_CCR_2016-p021-ar-301
34,Choueiri_CCR_2016-p050-ar-551
35,Choueiri_CCR_2016-p115-ar-329
36,Choueiri_CCR_2016-p090-ar-331
37,Choueiri_CCR_2016-p014-ar-325
38,Choueiri_CCR_2016-p096-ar-333
39,Choueiri_CCR_2016-p102-ar-841
40,Choueiri_CCR_2016-p106-ar-300
41,Choueiri_CCR_2016-p027-ar-866
42,Choueiri_CCR_2016-p018-ar-318
43,Choueiri_CCR_2016-p117-ar-327
44,38_PD1_PRE
45,15_PD1_PRE
46,40_PD1_PRE
47,12_PD1_PRE
48,36_PD1_PRE
49,42_PD1_PRE
50,20_ipiPD1_PRE
51,8_PD1_PRE
52,32_ipiPD1_PRE
53,45_PD1_PRE
54,14_PD1_PRE
55,23_PD1_PRE
56,44_ipiPD1_PRE
57,6_PD1_PRE
58,50_ipiPD1_PRE
59,10_PD1_PRE
60,2_PD1_PRE
61,25_PD1_PRE
62,8_ipiPD1_PRE
63,47_ipiPD1_PRE
64,34_ipiPD1_PRE
65,6_ipiPD1_PRE
66,45_ipiPD1_PRE
67,25_ipiPD1_PRE
68,27_ipiPD1_PRE
69,17_ipiPD1_PRE
70,47_PD1_PRE
71,50_PD1_PRE
72,19_ipiPD1_PRE
73,49_PD1_PRE
74,29_PD1_PRE
75,14_ipiPD1_PRE
76,12_ipiPD1_PRE
77,7_PD1_PRE
78,1_ipiPD1_PRE
79,18_PD1_PRE
80,35_PD1_PRE
81,37_ipiPD1_PRE
82,30_PD1_PRE
83,36_ipiPD1_PRE
84,34_PD1_PRE
85,24_ipiPD1_PRE
86,33_ipiPD1_PRE
87,9_PD1_PRE
88,35_ipiPD1_PRE
89,21_PD1_PRE
90,54_PD1_PRE
91,23_ipiPD1_PRE
92,17_PD1_PRE
93,49_ipiPD1_PRE
94,21_ipiPD1_PRE
95,48_PD1_PRE
96,15_ipiPD1_PRE
97,3_PD1_PRE
98,53_PD1_PRE
99,38_ipiPD1_PRE
100,26_ipiPD1_PRE
101,46_ipiPD1_PRE
102,Pt2-baseline
103,Pt23-baseline
104,Pt7-baseline
105,Pt31-baseline
106,Pt14-baseline
107,Pt9-baseline
108,Pt25-baseline
109,Pt5-baseline
110,Pt27-baseline
111,Pt22-baseline
112,Pt28-baseline
113,Pt15-baseline
114,Pt12-baseline
115,Pt10-baseline
116,Pt13-baseline
117,Pt8-baseline
118,Pt29-baseline
119,Pt32-baseline
120,Pt37-baseline
121,Pt35-baseline
122,Pt19-baseline
123,IMVigor210-eb587a-ar-eb587a6
124,IMVigor210-fd9476-ar-fd94761
125,IMVigor210-61baf9-ar-61baf91
126,IMVigor210-31f41d-ar-31f41dd
127,IMVigor210-3894ac-ar-3894ac3
128,IMVigor210-1ab1b2-ar-1ab1b28
129,IMVigor210-a90d73-ar-a90d73f
130,IMVigor210-415f36-ar-415f36a
131,IMVigor210-b4c7a0-ar-b4c7a00
132,IMVigor210-8884fe-ar-8884fe4
133,IMVigor210-2c9586-ar-2c95861
134,IMVigor210-7b4000-ar-7b40007
135,IMVigor210-87a8e1-ar-87a8e18
136,IMVigor210-d697ba-ar-d697ba7
137,IMVigor210-4b7ea0-ar-4b7ea01
138,IMVigor210-2bba8c-ar-2bba8cb
139,IMVigor210-3cb94b-ar-3cb94b0
140,IMVigor210-d1bd63-ar-d1bd637
141,IMVigor210-cc7a42-ar-cc7a42d
142,IMVigor210-3e8baf-ar-3e8baff
143,IMVigor210-8e4698-ar-8e46983
144,IMVigor210-09c84e-ar-09c84ec
145,IMVigor210-523468-ar-5234688
146,IMVigor210-548551-ar-548551e
147,IMVigor210-61b9d4-ar-61b9d4d
148,IMVigor210-ffa5c7-ar-ffa5c7c
149,IMVigor210-3a1c96-ar-3a1c963
150,IMVigor210-45c8e6-ar-45c8e64
151,IMVigor210-b3c022-ar-b3c0229
152,IMVigor210-1fa6bc-ar-1fa6bcb
153,IMVigor210-81b715-ar-81b7152
154,IMVigor210-65afda-ar-65afda2
155,IMVigor210-3b1066-ar-3b1066e
156,IMVigor210-203dcf-ar-203dcf1
