	concept
0	Macrophage
1	Exhausted_Tcell
2	Cell_proliferation
3	Cytotoxic_Tcell
4	IFNg_pathway
5	TGFb_pathway
6	CD4_Tcell
7	CD8_Tcell
8	NKcell
9	Monocyte
10	Memory_Tcell
11	Immune_checkpoint
12	Genome_integrity
13	Memory_Bcell
14	Tcell_general
15	pDC
16	Erythrocyte
17	Epithelial
18	Granulocyte
19	Pancreatic
20	Plasma_cell
21	Bcell_general
22	Stroma
23	Myeloid
24	Cytokine
25	Platelet
26	Pericyte
27	Treg
28	TLS
29	Stem
30	Reference
31	Pneumocyte
32	Hepatocyte
33	Naive_Bcell
34	Endothelial
35	Mesothelial
36	Apoptosis_pathway
37	Mast
38	Innate_lymphoid_cell
39	Naive_Tcell
40	CANCER
41	Fibroblast
42	cDC
43	Adipocyte
