Index,CANCER,Adipocyte,Apoptosis_pathway,Bcell,CD4_Tcell,CD8_Tcell,CPI_Response,CPI_effect,Cytokine_chemokine,Cytotoxic_Tcell,Endothelial,Epithelial,Erythrocyte,Exhausted_Tcell,Fibroblast,Granulocyte,Hepatocyte,IFNg_pathway,Immune_checkpoint,Immune_score,Innate_lymphoid_cell,Macrophage,Mast,Memory_Tcell,Mesothelial,Monocyte,Myeloid,NKcell,Naive_Tcell,Neutrophil,OS_effect,PLFcell,Pancreatic,Platelet,Pneumocyte,Stem,Stroma,TGFb_pathway,TLS,TMB,Tcell_exclusion,Tcell_general,Treg,cDC,pDC
IMVigor210-0257bb-ar-0257bbb,8.134819654515013e-05,0.0008937918464653194,0.002415170893073082,-0.00234041060321033,-0.005249125882983208,-0.010118415579199791,-0.0025375979021191597,9.709252481115982e-05,0.00266570714302361,0.0003328162129037082,-0.0026263652835041285,0.004552514757961035,0.0006661988445557654,-0.005785015411674976,0.0070068142376840115,0.002932403003796935,0.0031324471347033978,0.001624643919058144,-0.0020349540282040834,-0.007752988021820784,0.0007520912331528962,0.0045401896350085735,0.0033183558844029903,-0.0027638564351946115,-0.003916651476174593,0.00030027239699847996,0.006009791512042284,0.0013610419118776917,-0.0013809503288939595,-0.00023054555640555918,0.0012046989286318421,0.003889902029186487,0.003942463546991348,0.0019087998662143946,0.006216048263013363,-0.0006441318546421826,-0.0020759133622050285,-0.005314160604029894,0.00010495274182176217,0.006743888836354017,-0.00525894807651639,0.0020466819405555725,0.0007042060024105012,-0.000508740427903831,-0.0019958317279815674
IMVigor210-025b45-ar-025b45c,0.0001305386977037415,0.0013450750848278403,0.003667732235044241,-0.003716547042131424,-0.007071320898830891,-0.017380710691213608,-0.00414215587079525,0.0001522771781310439,0.004474258981645107,-0.000447295285994187,-0.0036604944616556168,0.0076195853762328625,0.0012673642486333847,-0.010420698672533035,0.01141354814171791,0.0056441533379256725,0.005042742937803268,0.0024735110346227884,-0.0037799666170030832,-0.011968647129833698,0.0011337966425344348,0.007631089072674513,0.006199515424668789,-0.004706212319433689,-0.005072225816547871,0.0004131074820179492,0.00922404881566763,0.0023908717557787895,-0.002258190419524908,-0.00026797581813298166,0.0021788105368614197,0.006250541657209396,0.007027915213257074,0.0030499210115522146,0.009494392201304436,-0.0010766519699245691,-0.001823333208449185,-0.01032633800059557,0.00031817954732105136,0.009988721460103989,-0.008837150409817696,0.0030082676094025373,0.0009193708538077772,-0.0008846523705869913,-0.002514136489480734
IMVigor210-032c64-ar-032c642,0.0003011263906955719,-0.0016750853974372149,0.009084799326956272,-0.00779178598895669,-0.018573682755231857,-0.0359506718814373,-0.008284465409815311,0.0003931016835849732,0.010090935975313187,0.005164356902241707,-0.009212695062160492,0.020640434697270393,0.0032270189840346575,-0.018828975036740303,0.024198420345783234,0.014822681434452534,0.011538050137460232,0.006845002993941307,-0.009792114607989788,-0.027316415682435036,0.002431579167023301,0.01675252616405487,0.0141829838976264,-0.011388487182557583,-0.01429358683526516,0.0010884770890697837,0.019273139536380768,0.004544913303107023,-0.005128464195877314,-0.0003755869693122804,0.004046548157930374,0.015798097476363182,0.015257518738508224,0.007559019140899181,0.021186167374253273,-0.0025133199524134398,-0.008674636483192444,-0.0174169410020113,0.0004888495313934982,0.025786258280277252,-0.02125016413629055,0.010556621477007866,0.002514561638236046,-0.0021919733844697475,-0.009789939969778061
IMVigor210-0571f1-ar-0571f17,0.0006836652173660696,-0.0041523464024066925,0.017675723880529404,-0.01740271970629692,-0.0358867384493351,-0.0852811336517334,-0.018070939928293228,0.001276470604352653,0.01963610202074051,0.011968988925218582,-0.028208915144205093,0.044293902814388275,0.007022146135568619,-0.04517212137579918,0.05978991836309433,0.03027612343430519,0.02646079659461975,0.01437966339290142,-0.01828700117766857,-0.061489615589380264,0.005197774153202772,0.03927532956004143,0.029721539467573166,-0.023089980706572533,-0.027064455673098564,0.002682471415027976,0.0545358769595623,0.008708943612873554,-0.013555530458688736,-0.0015764455311000347,0.007547454442828894,0.032589174807071686,0.03656722977757454,0.014816881157457829,0.04983339458703995,-0.006556289736181498,-0.018955783918499947,-0.041863005608320236,-0.006138572935014963,0.056593067944049835,-0.04288983345031738,0.03077748417854309,0.007413388229906559,-0.003736520418897271,-0.018375780433416367
IMVigor210-065890-ar-0658907,0.0035253388341516256,-0.008152548223733902,0.1201818510890007,-0.0974123626947403,-0.21356815099716187,-0.41875043511390686,-0.10117411613464355,0.0042504617013037205,0.12224505841732025,0.028379732742905617,-0.10677948594093323,0.23179860413074493,0.03612634912133217,-0.24212317168712616,0.28378695249557495,0.15786483883857727,0.13556261360645294,0.07513132691383362,-0.09796225279569626,-0.3155089020729065,0.02435964159667492,0.19241410493850708,0.15682049095630646,-0.12066158652305603,-0.12845337390899658,0.013106497935950756,0.26700451970100403,0.05298711732029915,-0.05274510383605957,-0.00716780312359333,0.05076289921998978,0.1523727923631668,0.19345588982105255,0.08046666532754898,0.2516099512577057,-0.02659354917705059,-0.11907142400741577,-0.20301352441310883,0.006893100682646036,0.2809681296348572,-0.24024850130081177,0.09907644987106323,0.034000784158706665,-0.020053740590810776,-0.07410117983818054
IMVigor210-0684af-ar-0684af7,0.0037613974418491125,0.036807235330343246,0.11784210801124573,-0.10804589837789536,-0.23511064052581787,-0.4715859293937683,-0.11181670427322388,0.004437725059688091,0.13900093734264374,-0.027967829257249832,-0.11578000336885452,0.2590765655040741,0.0391986109316349,-0.2889888882637024,0.2869454026222229,0.1842910647392273,0.1447610855102539,0.07939411699771881,-0.09780381619930267,-0.34567123651504517,0.04013175517320633,0.2108338624238968,0.20379795134067535,-0.12569303810596466,-0.119041308760643,0.012617257423698902,0.28735679388046265,0.048558712005615234,-0.059525877237319946,-0.008810846135020256,0.06651564687490463,0.16891297698020935,0.191328763961792,0.074500173330307,0.2833371162414551,-0.028370803222060204,-0.09237547218799591,-0.21508373320102692,-0.01124913152307272,0.3216324746608734,-0.25595182180404663,0.08746233582496643,0.037197817116975784,-0.024828657507896423,-0.07687840610742569
IMVigor210-075e03-ar-075e037,0.0060547408647835255,0.03171897307038307,0.18998174369335175,-0.1713140606880188,-0.37555426359176636,-0.7150431275367737,-0.17777281999588013,0.006853144615888596,0.217676043510437,-0.0027434201911091805,-0.1723458617925644,0.4804718792438507,0.059706419706344604,-0.4754737615585327,0.5168917179107666,0.2909483015537262,0.232453390955925,0.1366458237171173,-0.12790244817733765,-0.5160064697265625,0.050944551825523376,0.33646178245544434,0.299458384513855,-0.17750990390777588,-0.2011517435312271,0.02159453183412552,0.45269107818603516,0.06040462106466293,-0.07255615293979645,-0.011379387229681015,0.09924882650375366,0.2837514877319336,0.2829452157020569,0.14497493207454681,0.4374634921550751,-0.051604680716991425,-0.18951888382434845,-0.32600486278533936,0.008826222270727158,0.49688997864723206,-0.4366781711578369,0.1410350203514099,0.07925450801849365,-0.04111716151237488,-0.12632493674755096
IMVigor210-07a93a-ar-07a93a2,0.005330338608473539,0.026389410719275475,0.16563725471496582,-0.14215996861457825,-0.289021372795105,-0.6388699412345886,-0.14383848011493683,0.005344960372895002,0.17773298919200897,-0.006177559960633516,-0.14911210536956787,0.34080830216407776,0.04471078887581825,-0.41773590445518494,0.4662606418132782,0.22925828397274017,0.20545203983783722,0.10864143073558807,-0.12427344918251038,-0.4709198474884033,0.040071357041597366,0.3039419651031494,0.2521571218967438,-0.18754670023918152,-0.21594470739364624,0.018550848588347435,0.42777219414711,0.08646773546934128,-0.08459941297769547,-0.010533458553254604,0.08925557136535645,0.27001771330833435,0.24046164751052856,0.126161590218544,0.3823132812976837,-0.03359229862689972,-0.11603613197803497,-0.36020174622535706,0.004239581525325775,0.45474013686180115,-0.34037601947784424,0.13262857496738434,0.04702378436923027,-0.0336243212223053,-0.11244647204875946
IMVigor210-08cce2-ar-08cce2f,0.00012277334462851286,0.0018105382332578301,0.0037215480115264654,-0.003472819458693266,-0.006937140598893166,-0.01562858559191227,-0.0037294477224349976,0.00013988625141792,0.004179445561021566,-0.0009428869816474617,-0.0036352688912302256,0.009182227775454521,0.0012403387809172273,-0.009705574251711369,0.010354672558605671,0.004993019625544548,0.003993622492998838,0.002340296981856227,-0.0035153382923454046,-0.011677692644298077,0.0010045506060123444,0.006853214930742979,0.00535154202952981,-0.004351096693426371,-0.00471910834312439,0.00042909581679850817,0.009181126952171326,0.001346656121313572,-0.0019402022007852793,-0.00016714543744456023,0.001945797586813569,0.005393303465098143,0.005865307990461588,0.0028807667549699545,0.008374855853617191,-0.0010922381188720465,-0.00343686924315989,-0.00821035448461771,-0.00013720120477955788,0.010101220570504665,-0.007936839945614338,0.003229989903047681,0.0014657707652077079,-0.0007962735835462809,-0.0028957133181393147
IMVigor210-09c84e-ar-09c84ec,0.00019511971913743764,-0.0004956066841259599,0.005776533856987953,-0.0055033364333212376,-0.011805801652371883,-0.025030778720974922,-0.005662779789417982,0.0002033407799899578,0.007042641285806894,-0.001793279079720378,-0.006615757010877132,0.014180163852870464,0.002063556807115674,-0.013687485828995705,0.015077346935868263,0.009254874661564827,0.007349965162575245,0.0035920729860663414,-0.004683793988078833,-0.018231520429253578,0.0023142790887504816,0.01082821749150753,0.010425987653434277,-0.005614578258246183,-0.006743567995727062,0.0006109404494054615,0.01421339064836502,0.0030148730147629976,-0.002470575273036957,-0.0006236860062927008,0.003648181911557913,0.008841497823596,0.009829981252551079,0.004608817398548126,0.013919084332883358,-0.0015206633834168315,-0.0035812528803944588,-0.013341979123651981,0.00011515919322846457,0.015066031366586685,-0.013835360296070576,0.004729270935058594,0.0016155423363670707,-0.0013303421437740326,-0.0039422898553311825
